epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,40855.7,0.74085,0.92519,1.06302,0.78896,0.81226,0.86884,0.68751,0.81723,0.6828,0.94285,0.002476,0.002476,0.002476
78,41389.9,0.73767,0.91937,1.0641,0.79244,0.80989,0.86914,0.68874,0.81531,0.67908,0.9416,0.002377,0.002377,0.002377
79,41922.9,0.73809,0.91377,1.06223,0.79457,0.81112,0.86989,0.68944,0.81459,0.67731,0.94097,0.002278,0.002278,0.002278
80,42457.3,0.73172,0.91196,1.0608,0.79334,0.8107,0.86993,0.68994,0.81394,0.67598,0.94044,0.002179,0.002179,0.002179
81,42990.8,0.7359,0.90728,1.06206,0.79138,0.81428,0.87073,0.69063,0.81462,0.67522,0.94064,0.00208,0.00208,0.00208
82,43523.7,0.73,0.90522,1.05806,0.78969,0.81606,0.87121,0.69098,0.8147,0.67458,0.94047,0.001981,0.001981,0.001981
83,44051.5,0.72742,0.89406,1.05827,0.78764,0.81676,0.87161,0.69226,0.81465,0.67367,0.94002,0.001882,0.001882,0.001882
84,44574.1,0.72299,0.88926,1.05621,0.78986,0.81417,0.87214,0.69277,0.81465,0.67203,0.93984,0.001783,0.001783,0.001783
85,45103.2,0.72445,0.88659,1.05704,0.78992,0.8141,0.87307,0.6948,0.8145,0.6699,0.93958,0.001684,0.001684,0.001684
86,45632.7,0.72169,0.88322,1.0557,0.79495,0.81137,0.87347,0.69554,0.81441,0.66825,0.93972,0.001585,0.001585,0.001585
87,46159.1,0.71852,0.87436,1.05434,0.80077,0.8087,0.8742,0.6961,0.81448,0.6661,0.93925,0.001486,0.001486,0.001486
88,46685.9,0.71526,0.87075,1.05301,0.80426,0.80626,0.87429,0.69601,0.81411,0.66491,0.93898,0.001387,0.001387,0.001387
89,47213.7,0.71648,0.86712,1.05439,0.80264,0.80929,0.87485,0.69682,0.81402,0.66282,0.93867,0.001288,0.001288,0.001288
90,47741.5,0.71317,0.85986,1.05298,0.79867,0.81446,0.87568,0.69592,0.81348,0.66084,0.93812,0.001189,0.001189,0.001189
91,48268.9,0.70732,0.85624,1.05097,0.80179,0.81029,0.87613,0.69657,0.81298,0.65978,0.9377,0.00109,0.00109,0.00109
92,48796.3,0.70777,0.84996,1.05038,0.80547,0.80549,0.87646,0.69679,0.81381,0.65951,0.93798,0.000991,0.000991,0.000991
93,49323.9,0.70364,0.8408,1.04827,0.80785,0.80501,0.87704,0.69619,0.81395,0.65842,0.93773,0.000892,0.000892,0.000892
94,49851.5,0.70129,0.83933,1.04809,0.805,0.80803,0.87723,0.69656,0.81333,0.65706,0.93712,0.000793,0.000793,0.000793
95,50378.8,0.69916,0.83045,1.04736,0.807,0.80391,0.87778,0.6975,0.81307,0.65537,0.9368,0.000694,0.000694,0.000694
96,50906.1,0.69436,0.824,1.04577,0.81239,0.80213,0.87826,0.69781,0.81228,0.65366,0.9364,0.000595,0.000595,0.000595
97,51433.4,0.69389,0.81712,1.04491,0.81435,0.79998,0.87834,0.69803,0.81156,0.65213,0.93598,0.000496,0.000496,0.000496
98,51961.5,0.69178,0.81239,1.0438,0.81445,0.80035,0.87906,0.69885,0.81087,0.65058,0.93556,0.000397,0.000397,0.000397
99,52489.5,0.68671,0.80422,1.04228,0.81838,0.79962,0.87935,0.69929,0.81076,0.64902,0.93558,0.000298,0.000298,0.000298
100,53017.2,0.68713,0.80001,1.04264,0.81732,0.79718,0.87995,0.69972,0.81018,0.64819,0.93521,0.000199,0.000199,0.000199
